datetime,code,open,close,high,low,vol,amount,p_change
2013-03-29,000300,2502.78,2495.08,2509.11,2482.49,524021.0,52055539712.0,-0.17
2013-04-01,000300,2486.43,2493.19,2507.82,2483.73,473460.0,47159820288.0,-0.08
2013-04-02,000300,2495.84,2486.39,2524.46,2475.0,556841.0,55637393408.0,-0.27
2013-04-03,000300,2493.88,2483.55,2507.14,2474.93,455642.0,45156720640.0,-0.11
2013-04-08,000300,2443.24,2472.3,2473.31,2429.5,532967.0,55249297408.0,-0.45
2013-04-09,000300,2477.29,2489.43,2505.29,2477.29,523898.0,54947037184.0,0.69
2013-04-10,000300,2487.98,2485.31,2495.57,2466.19,475049.0,51963822080.0,-0.17
2013-04-11,000300,2502.5,2477.88,2508.59,2476.4,429899.0,43039948800.0,-0.3
2013-04-12,000300,2476.32,2462.11,2489.12,2460.18,399172.0,40428048384.0,-0.64
2013-04-15,000300,2453.97,2436.82,2461.67,2430.15,465397.0,44084842496.0,-1.03
2013-04-16,000300,2419.51,2459.59,2461.05,2416.62,552806.0,53783257088.0,0.93
2013-04-17,000300,2457.88,2458.47,2465.2,2437.35,446921.0,46800830464.0,-0.05
2013-04-18,000300,2440.71,2464.85,2478.41,2434.73,428607.0,46270136320.0,0.26
2013-04-19,000300,2469.95,2533.83,2542.45,2469.32,755208.0,76723675136.0,2.8
2013-04-22,000300,2525.11,2530.67,2539.05,2518.26,625118.0,63027023872.0,-0.12
2013-04-23,000300,2532.2,2449.47,2532.2,2448.2,606539.0,61576159232.0,-3.21
2013-04-24,000300,2452.78,2495.58,2511.2,2446.59,630509.0,62189420544.0,1.88
2013-04-25,000300,2486.86,2467.88,2505.48,2456.57,605579.0,59891286016.0,-1.11
2013-04-26,000300,2477.72,2447.31,2488.58,2439.8,471233.0,46351986688.0,-0.83
2013-05-02,000300,2434.6,2449.64,2453.75,2423.08,470160.0,47200448512.0,0.1
2013-05-03,000300,2457.54,2492.91,2521.12,2457.54,623300.0,63267041280.0,1.77
2013-05-06,000300,2502.98,2525.98,2533.86,2500.46,604187.0,61767950336.0,1.33
2013-05-07,000300,2519.36,2529.94,2539.3,2507.76,544906.0,59244949504.0,0.16
2013-05-08,000300,2542.27,2542.8,2562.01,2531.25,595542.0,60309147648.0,0.51
2013-05-09,000300,2542.37,2527.79,2543.3,2507.79,602401.0,64438292480.0,-0.59
2013-05-10,000300,2519.52,2540.84,2546.97,2515.16,488167.0,50896691200.0,0.52
